Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
1.140119701E0,1.100700021E0,-7.95E+00,4.434499741E0,9.167890037E0,0.00E+00
1.150119701E0,3.619099855E0,-7.12E+00,5.928999901E0,9.946267268E0,0.00E+00
1.160119701E0,5.096299648E0,-5.38E+00,7.223399639E0,1.035008741E1,0.00E+00
1.170121263E0,6.465399742E0,-4.48E+00,7.325399876E0,1.075030840E1,0.00E+00
1.180121263E0,9.445799828E0,-3.51E+00,9.611899376E0,1.392654649E1,0.00E+00
1.190119701E0,1.162119961E1,-3.16E+00,1.151179981E1,1.665918577E1,0.00E+00
1.200119701E0,1.342709923E1,-1.93E+00,1.154949951E1,1.781529435E1,0.00E+00
1.210119701E0,1.448819923E1,-2.32E+00,8.949099541E0,1.718620288E1,0.00E+00
1.220119701E0,1.583939934E1,-9.18E-01,6.383899689E0,1.710216423E1,0.00E+00
1.230119701E0,1.685239983E1,1.069000006E0,2.843099833E0,1.712394106E1,0.00E+00
1.240119701E0,1.743350029E1,2.301800013E0,-1.73E+00,1.766978297E1,0.00E+00
1.250119701E0,1.735079956E1,3.495299816E0,-6.01E+00,1.869097676E1,0.00E+00
1.260119701E0,1.769409943E1,4.597000122E0,-9.65E+00,2.067159492E1,0.00E+00
1.270119701E0,1.702369881E1,5.710700035E0,-1.12E+01,2.116255952E1,0.00E+00
1.280119701E0,1.661969948E1,6.175399780E0,-1.08E+01,2.075821714E1,0.00E+00
1.290121263E0,1.620359993E1,6.347399712E0,-1.02E+01,2.014673592E1,0.00E+00
1.300119701E0,1.566109943E1,6.230799675E0,-9.60E+00,1.939624953E1,0.00E+00
1.310119701E0,1.461129951E1,5.300799847E0,-9.31E+00,1.811632824E1,0.00E+00
1.320121263E0,1.297239971E1,4.003900051E0,-9.02E+00,1.629870243E1,0.00E+00
1.330121263E0,1.148609924E1,2.795099974E0,-7.99E+00,1.426584938E1,0.00E+00
1.340119701E0,9.743000031E0,2.151399851E0,-8.07E+00,1.283325293E1,0.00E+00
1.350119701E0,8.983599663E0,2.116499901E0,-8.13E+00,1.229912709E1,0.00E+00
1.360119701E0,7.770899773E0,1.994399905E0,-8.42E+00,1.163053443E1,0.00E+00
1.370119701E0,6.836899757E0,2.126999855E0,-7.96E+00,1.070805134E1,0.00E+00
1.380119701E0,6.125099659E0,2.460500002E0,-7.46E+00,9.961798361E0,0.00E+00
1.390119701E0,6.201900005E0,3.211899996E0,-7.94E+00,1.057751499E1,0.00E+00
1.400119701E0,5.388999939E0,2.517199993E0,-7.65E+00,9.692654743E0,0.00E+00
1.410119701E0,3.740299940E0,1.220299959E0,-7.12E+00,8.135139233E0,0.00E+00
1.420119701E0,1.413499951E0,-7.01E-01,-7.46E+00,7.623867693E0,0.00E+00
1.430119701E0,-1.13E+01,-1.15E+01,-1.40E+01,2.131253033E1,0.00E+00
1.440119701E0,-7.41E+00,-6.31E+00,-1.16E+01,1.515178222E1,0.00E+00
1.450119701E0,-5.79E+00,-3.98E+00,-1.01E+01,1.234338289E1,0.00E+00
1.460119701E0,-6.99E+00,-5.94E+00,-6.16E+00,1.104814653E1,0.00E+00
1.470119701E0,-3.94E+00,-1.63E+00,-3.53E+00,5.533729202E0,0.00E+00
1.480119701E0,-8.87E-01,-1.14E+00,-6.30E-03,1.446440532E0,0.00E+00
1.490119701E0,3.931999803E-1,-1.23E+00,2.460099936E0,2.779479723E0,0.00E+00
1.500119701E0,1.184000000E-1,-1.44E+00,3.482800007E0,3.770153819E0,0.00E+00
1.510119701E0,-5.63E-01,-1.15E+00,2.301699877E0,2.631978573E0,0.00E+00
1.520119701E0,3.111000061E-1,-8.16E-01,1.217000008E0,1.497962431E0,0.00E+00
1.530119701E0,-1.88E-01,-1.70E-01,2.012399912E0,2.028307523E0,0.00E+00
1.540121263E0,-5.52E-01,-1.02E+00,1.626099944E0,1.999937693E0,0.00E+00
1.550119701E0,-3.13E-01,-1.82E-01,-1.93E-01,4.107678876E-1,0.00E+00
1.560119701E0,2.449999936E-2,-6.93E-01,-1.13E+00,1.327203714E0,0.00E+00
1.570119701E0,-1.28E+00,-1.70E+00,-2.09E+00,2.982831648E0,0.00E+00
1.580121263E0,-2.12E+00,-3.09E+00,-1.46E+00,4.023602438E0,0.00E+00
1.590119701E0,-3.40E+00,-4.98E+00,1.080199957E0,6.122404710E0,0.00E+00
1.600121263E0,-4.98E+00,-5.08E+00,3.725399971E0,8.030175563E0,0.00E+00
1.610121263E0,-4.77E+00,-3.72E+00,1.973399997E0,6.366028890E0,0.00E+00
1.620119701E0,-3.27E+00,-2.87E+00,1.624199986E0,4.648234834E0,0.00E+00
1.630119701E0,-2.71E+00,-1.84E+00,2.916199923E0,4.387974503E0,0.00E+00
1.640119701E0,-1.39E+00,-1.46E+00,3.971999884E0,4.453666927E0,0.00E+00
1.650119701E0,8.289999515E-2,-1.14E+00,4.623600006E0,4.762524799E0,0.00E+00
1.660119701E0,-1.42E+00,-1.68E+00,1.223599911E0,2.513938708E0,0.00E+00
1.670121263E0,-2.37E+00,4.736999869E-1,2.525899887E0,3.495649632E0,0.00E+00
1.680121263E0,-1.89E+00,5.149999857E-1,4.336899757E0,4.759896662E0,0.00E+00
1.690121263E0,-2.03E+00,-4.27E-01,5.477699757E0,5.856896125E0,0.00E+00
1.700119701E0,-1.36E+00,-1.24E+00,5.818299770E0,6.101647931E0,0.00E+00
1.710119701E0,2.284999937E-1,-1.26E+00,4.918200016E0,5.081952022E0,0.00E+00
1.720119701E0,1.438499928E0,-2.01E+00,4.017699718E0,4.717596474E0,0.00E+00
1.730119701E0,2.729300022E0,-2.40E+00,3.370800018E0,4.958938183E0,0.00E+00
1.740119701E0,3.596199989E0,-2.31E+00,3.292899847E0,5.395462852E0,0.00E+00
1.750121263E0,2.690899849E0,-2.14E+00,3.624699831E0,4.997440522E0,0.00E+00
1.760119701E0,-1.96E-01,-9.59E-01,4.268000126E0,4.378843540E0,0.00E+00
1.770119701E0,-7.19E-01,-1.08E+00,4.273200035E0,4.466156524E0,0.00E+00
1.780119701E0,-1.12E+00,-2.85E+00,3.989099979E0,5.027503713E0,0.00E+00
1.790119701E0,2.266999930E-1,-1.86E+00,4.701299667E0,5.062605201E0,0.00E+00
1.800119701E0,1.886699915E0,-9.95E-01,4.119699955E0,4.639222494E0,0.00E+00
